player_id,Jogador,Equipe,proposta,perfil_m,con_atual,def,nota_atual,rank_atual,con_opcao_b,nota_opcao_b,rank_opcao_b,passes_prog,passes_long,construcao,delta_con,delta_rank
j-aguirre-athletico-paranaense-71,J. Aguirre,Athletico Paranaense,Defensor de Área,Defensivo,39.50,55.68,6.50,33,38.32,6.45,35,40.07,38.92,38.32,-1.17,-2
vitor-hugo-atl-tico-mineiro-328,Vitor Hugo,Atlético Mineiro,Combativo,Defensivo,39.70,59.36,6.47,34,40.63,6.41,37,51.86,27.55,40.63,0.93,-3
rafael-tol-i-s-o-paulo-348,Rafael Tolói,São Paulo,Defensor de Área,Construtor,59.82,51.74,6.47,34,59.32,6.41,37,51.22,68.42,59.32,-0.51,-3
kayky-almeida-remo-341,Kayky Almeida,Remo,Combativo,Híbrido,52.70,59.67,6.44,36,47.75,6.34,45,42.94,62.47,47.75,-4.96,-9
jemmes-fluminense-103,Jemmes,Fluminense,Combativo,Defensivo,18.21,55.35,6.42,37,16.15,6.38,40,17.43,19.00,16.15,-2.07,-3
camutanga-vit-ria-301,Camutanga,Vitória,Defensor de Área,Defensivo,28.49,57.49,6.42,37,23.56,6.37,42,24.49,32.49,23.56,-4.93,-5
gabriel-justino-botafogo-279,Gabriel Justino,Botafogo,Defensor de Área,Defensivo,26.12,56.38,6.39,39,25.38,6.35,43,27.38,24.86,25.38,-0.73,-4
bruno-fuchs-palmeiras-336,Bruno Fuchs,Palmeiras,Construtor,Construtor,56.94,44.34,6.38,40,50.93,6.17,48,40.01,73.86,50.93,-6.01,-8
jonathan-cruzeiro-145,Jonathan,Cruzeiro,Combativo,Defensivo,44.19,54.90,6.38,40,41.55,6.35,43,38.39,49.99,41.55,-2.64,-3
jo-o-marcelo-cruzeiro-365,João Marcelo,Cruzeiro,Defensor de Área,Construtor,57.38,31.53,6.37,42,59.02,6.38,40,64.20,50.56,59.02,1.64,2
andr-ramalho-corinthians-318,André Ramalho,Corinthians,Construtor,Construtor,55.20,54.11,6.37,42,72.23,6.83,21,84.02,26.38,72.23,17.04,21
alix-red-bull-bragantino-66,Alix,Red Bull Bragantino,Combativo,Híbrido,60.21,43.33,6.36,44,54.93,6.16,49,60.56,59.86,54.93,-5.28,-5
a-saldivia-vasco-da-gama-194,A. Saldivia,Vasco da Gama,Combativo,Híbrido,50.28,54.07,6.32,45,57.07,6.44,36,52.48,48.09,57.07,6.78,9
c-cuesta-vasco-da-gama-204,C. Cuesta,Vasco da Gama,Construtor,Construtor,53.47,35.19,6.28,46,61.33,6.62,29,73.59,33.35,61.33,7.86,17
murilo-palmeiras-24,Murilo,Palmeiras,Construtor,Híbrido,63.58,35.90,6.27,47,73.24,6.61,30,74.65,52.51,73.24,9.66,17
d-tchamba-remo-109,D. Tchamba,Remo,Defensor de Área,Defensivo,43.82,52.82,6.27,47,40.85,6.24,46,40.85,46.80,40.85,-2.98,1
i-rom-n-atl-tico-mineiro-363,I. Román,Atlético Mineiro,Combativo,Defensivo,30.26,51.39,6.18,49,27.01,6.16,49,23.06,37.46,27.01,-3.26,0
jo-o-paulo-chapecoense-338,João Paulo,Chapecoense,Construtor,Defensivo,64.15,44.63,6.10,50,62.61,6.08,51,55.22,73.07,62.61,-1.53,-1
marllon-remo-5,Marllon,Remo,Defensor de Área,Defensivo,32.25,50.09,6.07,51,28.10,6.06,53,43.10,21.41,28.10,-4.15,-2
gabriel-paulista-corinthians-43,Gabriel Paulista,Corinthians,Defensor de Área,Defensivo,41.49,49.27,6.05,52,40.95,6.04,54,49.27,33.72,40.95,-0.54,-2
victor-gabriel-internacional-124,Victor Gabriel,Internacional,Construtor,Híbrido,38.24,55.33,6.05,52,38.03,6.07,52,54.23,22.25,38.03,-0.21,0
maicon-coritiba-181,Maicon,Coritiba,Defensor de Área,Defensivo,49.84,45.75,6.00,54,45.91,5.96,57,27.04,72.64,45.91,-3.93,-3
lyanco-atl-tico-mineiro-295,Lyanco,Atlético Mineiro,Defensor de Área,Híbrido,48.33,36.28,5.97,55,49.45,5.99,55,49.76,46.90,49.45,1.12,0
victor-caetano-chapecoense-293,Victor Caetano,Chapecoense,Defensor de Área,Defensivo,56.38,41.85,5.96,56,45.42,5.90,58,35.77,76.99,45.42,-10.97,-2
gustavo-henrique-corinthians-29,Gustavo Henrique,Corinthians,Defensor de Área,Defensivo,40.33,47.44,5.93,57,44.86,5.97,56,35.40,45.25,44.86,4.53,1
l-esquivel-athletico-paranaense-96,L. Esquivel,Athletico Paranaense,Combativo,Híbrido,50.44,38.79,5.91,58,61.27,6.23,47,53.52,47.36,61.27,10.83,11
newton-s-o-paulo-370,Newton,São Paulo,Combativo,Defensivo,24.35,38.53,5.82,59,24.12,5.83,61,24.82,23.88,24.12,-0.23,-2
bastos-botafogo-337,Bastos,Botafogo,Combativo,Defensivo,66.45,33.44,5.80,60,71.61,5.84,60,66.72,66.17,71.61,5.16,0
lucas-ver-ssimo-santos-136,Lucas Veríssimo,Santos,Defensor de Área,Defensivo,25.22,44.33,5.79,61,24.15,5.80,62,26.95,23.48,24.15,-1.06,-1
lucas-oliveira-mirassol-343,Lucas Oliveira,Mirassol,Defensor de Área,Híbrido,39.84,31.49,5.78,62,40.59,5.80,62,44.36,35.31,40.59,0.75,0
bruno-leonardo-chapecoense-93,Bruno Leonardo,Chapecoense,Defensor de Área,Defensivo,47.55,41.92,5.76,63,40.51,5.73,65,36.52,58.58,40.51,-7.04,-2
viery-fiorentina-138,Viery,Fiorentina,Combativo,Construtor,38.73,61.52,5.75,64,40.85,5.86,59,42.96,34.51,40.85,2.11,5
vit-o-flamengo-322,Vitão,Flamengo,Defensor de Área,Híbrido,40.21,28.07,5.67,65,45.89,5.78,64,47.46,32.96,45.89,5.68,1
gustavo-marques-red-bull-bragantino-49,Gustavo Marques,Red Bull Bragantino,Defensor de Área,Híbrido,41.34,38.24,5.57,66,42.25,5.62,66,48.59,34.08,42.25,0.92,0
wagner-leonardo-gr-mio-270,Wagner Leonardo,Grêmio,Combativo,Defensivo,56.37,27.14,5.51,67,55.54,5.54,67,58.36,54.39,55.54,-0.83,0
tiago-c-ser-coritiba-98,Tiago Cóser,Coritiba,Defensor de Área,Híbrido,35.17,38.42,5.50,68,30.94,5.44,68,36.81,33.52,30.94,-4.23,0
c-ter-n-athletico-paranaense-186,C. Terán,Athletico Paranaense,Combativo,Defensivo,26.93,33.47,5.41,69,25.00,5.43,69,23.49,30.38,25.00,-1.93,0
cac-vit-ria-84,Cacá,Vitória,Defensor de Área,Híbrido,27.18,40.42,5.35,70,22.68,5.31,70,19.14,35.21,22.68,-4.50,0
a-franco-tigres-uanl-168,A. Franco,Tigres UANL,Combativo,Defensivo,41.73,18.77,5.08,71,39.65,5.13,71,41.88,41.59,39.65,-2.08,0
