player_id,Jogador,Equipe,duelos_def,duelos_ar,passes_prog,passes_long,eficiencia_def,rating_mean,%Minutos,minutes,minutes_weight,rating_final,rank,perfil_cluster,con,def,perfil_m,m8_pre_shrink,m8_bonus,m8_raw,m8_final,rank_m8,nota_global,nota_perfil
victor-gabriel-internacional-124,Victor Gabriel,Internacional,64.170,49.300,54.230,22.250,52.540,48.500,0.630,1364,0.741,48.890,43,Híbrido,38.240,55.337,Híbrido,47.643,0.000,47.643,48.255,53,6.054,6.404
maicon-coritiba-181,Maicon,Coritiba,27.860,39.400,27.040,72.640,70.000,47.390,0.530,1146,0.662,48.270,46,Posicional,49.840,45.753,Defensivo,46.366,0.000,46.366,47.595,54,6.003,5.605
lyanco-atl-tico-mineiro-295,Lyanco,Atlético Mineiro,34.280,36.680,49.760,46.900,37.890,41.100,0.330,711,0.486,45.690,54,Híbrido,48.330,36.283,Híbrido,42.909,1.479,44.388,47.270,55,5.978,6.298
victor-caetano-chapecoense-293,Victor Caetano,Chapecoense,41.860,58.190,35.770,76.990,25.490,47.660,0.330,719,0.486,48.860,44,Combativo,56.380,41.847,Defensivo,44.027,0.000,44.027,47.094,56,5.965,6.923
gustavo-henrique-corinthians-29,Gustavo Henrique,Corinthians,57.380,64.790,35.400,45.250,20.140,44.590,0.860,1863,0.907,45.100,57,Posicional,40.325,47.437,Defensivo,46.370,0.000,46.370,46.709,57,5.936,5.515
l-esquivel-athletico-paranaense-96,L. Esquivel,Athletico Paranaense,56.340,28.060,53.520,47.360,31.970,43.450,0.670,1456,0.771,44.940,58,Híbrido,50.440,38.790,Híbrido,45.198,0.146,45.344,46.411,58,5.913,6.206
newton-s-o-paulo-370,Newton,São Paulo,54.180,20.140,24.820,23.880,41.270,32.860,0.220,472,0.374,43.630,61,Combativo,24.350,38.530,Defensivo,37.030,0.000,37.030,45.153,59,5.822,6.701
bastos-botafogo-337,Bastos,Botafogo,66.230,20.710,66.720,66.170,13.380,46.640,0.270,592,0.427,48.560,45,Combativo,66.445,33.440,Defensivo,38.391,0.000,38.391,45.043,60,5.814,6.688
lucas-ver-ssimo-santos-136,Lucas Veríssimo,Santos,23.000,49.300,26.950,23.480,60.700,36.690,0.610,1325,0.725,40.330,67,Posicional,25.215,44.333,Defensivo,42.833,0.000,42.833,44.803,61,5.797,5.342
lucas-oliveira-mirassol-343,Lucas Oliveira,Mirassol,20.140,30.790,44.360,35.310,43.520,34.830,0.250,551,0.406,43.770,60,Híbrido,39.835,31.483,Híbrido,36.077,0.768,36.844,44.657,62,5.787,6.024
bruno-leonardo-chapecoense-93,Bruno Leonardo,Chapecoense,24.210,54.930,36.520,58.580,46.620,44.170,0.680,1478,0.778,45.450,55,Posicional,47.550,41.920,Defensivo,42.764,0.000,42.764,44.369,63,5.766,5.307
viery-fiorentina-138,Viery,Fiorentina,92.250,30.480,42.960,34.510,61.830,52.410,0.610,1323,0.725,51.750,29,Construtor,38.735,61.520,Construtor,42.153,0.000,42.153,44.309,64,5.762,5.389
vit-o-flamengo-322,Vitão,Flamengo,20.420,49.020,47.460,32.960,14.790,32.930,0.300,641,0.457,42.270,65,Híbrido,40.210,28.077,Híbrido,34.750,0.000,34.750,43.027,65,5.675,5.863
gustavo-marques-red-bull-bragantino-49,Gustavo Marques,Red Bull Bragantino,27.270,21.130,48.590,34.080,66.340,39.480,0.780,1700,0.851,41.020,66,Híbrido,41.335,38.247,Híbrido,39.945,0.000,39.945,41.445,66,5.574,5.716
wagner-leonardo-gr-mio-270,Wagner Leonardo,Grêmio,40.160,27.330,58.360,54.390,13.940,38.840,0.360,785,0.515,44.230,59,Combativo,56.375,27.143,Defensivo,31.528,0.000,31.528,40.492,67,5.517,6.153
tiago-c-ser-coritiba-98,Tiago Cóser,Coritiba,20.200,43.660,36.810,33.520,51.410,37.120,0.670,1451,0.771,40.080,68,Híbrido,35.165,38.423,Híbrido,36.957,0.387,37.344,40.244,68,5.502,5.612
c-ter-n-athletico-paranaense-186,C. Terán,Athletico Paranaense,51.340,19.080,23.490,30.380,30.000,30.860,0.520,1125,0.654,37.500,70,Combativo,26.935,33.473,Defensivo,32.493,0.231,32.723,38.706,69,5.416,5.953
cac-vit-ria-84,Cacá,Vitória,33.940,31.690,19.140,35.210,55.630,35.120,0.710,1548,0.800,38.050,69,Híbrido,27.175,40.420,Híbrido,34.460,0.065,34.525,37.613,70,5.359,5.409
a-franco-tigres-uanl-168,A. Franco,Tigres UANL,23.370,17.610,41.880,41.590,15.350,27.960,0.560,1209,0.686,34.920,71,Combativo,41.735,18.777,Defensivo,22.220,0.113,22.333,31.021,71,5.082,5.266
