player_id,Jogador,Equipe,duelos_def,duelos_ar,passes_prog,passes_long,eficiencia_def,rating_mean,%Minutos,minutes,minutes_weight,rating_final,rank,perfil_cluster,con,def,perfil_m,m8_pre_shrink,m8_bonus,m8_raw,m8_final,rank_m8
s-ramos-mingo-bahia-14,S. Ramos Mingo,Bahia,19.79,33.10,78.87,47.18,37.32,43.25,0.93,2019,0.95,43.56,62,Construtor,63.03,30.07,Construtor,61.23,0.00,61.23,60.72,15
robert-renan-vasco-da-gama-8,Robert Renan,Vasco da Gama,62.68,40.85,85.21,38.73,49.72,55.44,0.98,2128,0.99,55.37,13,Construtor,61.97,51.08,Construtor,60.34,0.00,60.34,60.20,16
ign-cio-fluminense-238,Ignácio,Fluminense,81.96,60.56,32.04,41.05,68.87,56.90,0.42,920,0.57,53.95,16,Posicional,36.55,70.46,Defensivo,67.44,0.00,67.44,59.92,17
jacy-coritiba-70,Jacy,Coritiba,59.86,50.70,27.82,28.82,80.70,49.58,0.74,1613,0.82,49.65,40,Posicional,28.32,63.75,Defensivo,61.73,0.00,61.73,59.65,18
gabriel-xavier-shenzhen-peng-city-360,Gabriel Xavier,Shenzhen Peng City,57.75,82.34,41.47,68.23,92.54,68.46,0.23,500,0.38,57.12,9,Posicional,54.85,77.54,Defensivo,74.14,0.00,74.14,59.29,19
jo-o-victor-mirassol-2,João Victor,Mirassol,30.03,83.80,60.56,68.37,61.27,60.81,1.00,2167,1.00,60.81,4,Posicional,64.47,58.37,Defensivo,59.28,0.00,59.28,59.28,20
luan-c-ndido-vit-ria-164,Luan Cândido,Vitória,43.65,79.90,35.92,37.82,66.90,52.84,0.56,1224,0.69,51.96,26,Posicional,36.87,63.48,Defensivo,61.50,0.00,61.50,57.89,21
gabriel-mercado-internacional-159,Gabriel Mercado,Internacional,83.29,17.21,59.02,66.28,43.24,53.81,0.58,1263,0.70,52.68,22,Construtor,62.65,47.91,Construtor,60.92,0.00,60.92,57.66,22
j-freytes-fluminense-39,J. Freytes,Fluminense,61.27,35.21,51.41,69.01,39.86,51.35,0.82,1776,0.88,51.19,31,Construtor,60.21,45.45,Construtor,58.71,0.00,58.71,57.66,23
z-ivaldo-remo-296,Zé Ivaldo,Remo,73.47,48.58,48.78,43.64,78.17,58.53,0.33,706,0.49,54.11,15,Posicional,46.21,66.74,Defensivo,64.27,0.00,64.27,56.94,24
r-arboleda-s-o-paulo-304,R. Arboleda,São Paulo,56.34,78.11,31.00,39.35,65.21,54.00,0.32,685,0.48,51.89,28,Posicional,35.17,66.55,Defensivo,64.11,0.00,64.11,56.73,25
f-balbuena-gr-mio-306,F. Balbuena,Grêmio,52.88,42.37,72.78,58.20,60.70,57.39,0.31,676,0.47,53.46,18,Construtor,65.49,51.98,Construtor,63.46,0.51,63.98,56.53,26
gustavo-martins-gr-mio-146,Gustavo Martins,Grêmio,28.69,81.69,78.06,66.10,17.89,54.49,0.60,1311,0.72,53.24,20,Híbrido,72.08,42.76,Híbrido,58.88,0.00,58.88,56.37,27
alexander-barboza-palmeiras-100,Alexander Barboza,Palmeiras,59.86,65.49,59.15,59.15,30.28,54.79,0.67,1445,0.77,53.68,17,Construtor,59.15,51.88,Construtor,58.06,0.00,58.06,56.21,28
