player_id,Jogador,Equipe,duelos_def,duelos_ar,passes_prog,passes_long,eficiencia_def,rating_mean,%Minutos,minutes,minutes_weight,rating_final,rank,perfil_cluster,con,def,perfil_m,m2_raw,m3_raw,m6_raw,m8_raw,m0_final,m2_final,m3_final,m6_final,m8_final,rank_m0,rank_m2,rank_m3,rank_m6,rank_m8
maicon-coritiba-181,Maicon,Coritiba,27.86,39.40,27.04,72.64,70.00,47.39,0.53,1146,0.66,48.27,46,Posicional,49.84,45.75,Defensivo,46.37,39.29,44.14,46.37,48.27,47.59,42.91,46.12,47.59,46,54,43,55,54
camutanga-vit-ria-301,Camutanga,Vitória,48.67,50.70,24.49,32.49,73.10,45.89,0.32,696,0.48,48.04,47,Posicional,28.49,57.49,Defensivo,55.99,36.84,43.77,55.99,48.04,52.86,43.73,47.03,52.86,47,37,40,53,38
l-villalba-cruzeiro-249,L. Villalba,Cruzeiro,40.93,16.17,57.49,89.35,22.11,45.21,0.40,869,0.55,47.36,48,Construtor,73.42,26.40,Construtor,70.07,31.79,54.67,70.07,47.36,61.06,39.96,52.57,61.06,48,12,54,32,12
i-rom-n-atl-tico-mineiro-363,I. Román,Atlético Mineiro,58.54,59.44,23.06,37.46,36.20,42.94,0.23,489,0.38,47.32,49,Combativo,30.26,51.39,Defensivo,49.89,33.99,48.95,49.89,47.32,49.96,43.84,49.60,49.96,49,49,39,46,49
murilo-palmeiras-24,Murilo,Palmeiras,20.11,58.45,74.65,52.51,29.15,46.97,0.88,1900,0.92,47.22,50,Híbrido,63.58,35.90,Híbrido,51.13,35.19,50.90,51.13,47.22,51.04,36.37,50.83,51.04,50,48,59,39,48
gabriel-justino-botafogo-279,Gabriel Justino,Botafogo,66.18,24.51,27.38,24.86,78.45,44.27,0.36,774,0.51,47.07,51,Posicional,26.12,56.38,Defensivo,54.88,35.72,40.46,54.88,47.07,52.51,42.65,45.09,52.51,51,39,45,59,39
jo-o-marcelo-cruzeiro-365,João Marcelo,Cruzeiro,23.46,57.47,64.20,50.56,13.66,41.87,0.23,488,0.38,46.92,52,Construtor,57.38,31.53,Construtor,55.88,28.07,48.18,55.88,46.92,52.26,41.56,49.30,52.26,52,43,49,47,43
gabriel-paulista-corinthians-43,Gabriel Paulista,Corinthians,39.22,71.83,49.27,33.72,36.76,46.16,0.81,1754,0.87,46.65,53,Posicional,41.50,49.27,Defensivo,48.10,42.11,50.32,48.10,46.65,48.35,43.12,50.28,48.35,53,52,42,45,52
lyanco-atl-tico-mineiro-295,Lyanco,Atlético Mineiro,34.28,36.68,49.76,46.90,37.89,41.10,0.33,711,0.48,45.69,54,Híbrido,48.33,36.28,Híbrido,42.91,38.88,40.33,44.39,45.69,46.55,44.59,45.29,47.27,54,57,36,58,55
bruno-leonardo-chapecoense-93,Bruno Leonardo,Chapecoense,24.21,54.93,36.52,58.58,46.62,44.17,0.68,1478,0.78,45.45,55,Posicional,47.55,41.92,Defensivo,42.76,35.49,44.63,42.76,45.45,44.37,38.70,45.82,44.37,55,62,55,56,63
c-cuesta-vasco-da-gama-204,C. Cuesta,Vasco da Gama,42.62,50.13,73.59,33.35,12.82,42.50,0.48,1048,0.62,45.32,56,Construtor,53.47,35.19,Construtor,51.97,28.05,51.78,51.97,45.32,51.22,36.38,51.10,51.22,56,46,58,38,46
gustavo-henrique-corinthians-29,Gustavo Henrique,Corinthians,57.38,64.79,35.40,45.25,20.14,44.59,0.86,1863,0.91,45.10,57,Posicional,40.33,47.44,Defensivo,46.37,33.54,50.74,46.37,45.10,46.71,35.08,50.67,46.71,57,56,63,41,57
l-esquivel-athletico-paranaense-96,L. Esquivel,Athletico Paranaense,56.34,28.06,53.52,47.36,31.97,43.45,0.67,1456,0.77,44.94,58,Híbrido,50.44,38.79,Híbrido,45.20,37.10,48.79,45.34,44.94,46.30,40.05,49.06,46.41,58,58,53,48,58
