player_id,Jogador,Equipe,duelos_def,duelos_ar,passes_prog,passes_long,eficiencia_def,rating_mean,%Minutos,minutes,minutes_weight,rating_final,rank,archetype,m8_raw,m8_final,nota_global,nota_perfil,rank_perfil,rank_global
sabino-s-o-paulo-97,Sabino,São Paulo,75.490,60.560,62.680,39.620,46.900,57.050,0.670,1452,0.770,55.430,12,Construtor,54.100,53.160,6.539,6.326,16.000,34
s-ramos-mingo-bahia-14,S. Ramos Mingo,Bahia,19.790,33.100,78.870,47.180,37.320,43.250,0.930,2019,0.960,43.560,62,Construtor,53.139,52.994,6.522,6.311,17.000,35
gabriel-justino-botafogo-279,Gabriel Justino,Botafogo,66.180,24.510,27.380,24.860,78.450,44.270,0.360,774,0.510,47.070,51,Defensor de Área,49.348,49.664,6.187,6.290,17.000,48
i-rom-n-atl-tico-mineiro-363,I. Román,Atlético Mineiro,58.540,59.440,23.060,37.460,36.200,42.940,0.230,489,0.380,47.320,49,Combativo,48.506,49.425,6.164,6.283,11.000,49
andr-ramalho-corinthians-318,André Ramalho,Corinthians,32.900,87.890,84.020,26.380,41.550,54.550,0.300,647,0.460,52.070,23,Construtor,54.874,52.229,6.444,6.241,18.000,40
kayky-almeida-remo-341,Kayky Almeida,Remo,63.410,63.070,42.940,62.470,52.540,56.890,0.260,565,0.420,52.870,21,Construtor,54.795,51.998,6.421,6.220,19.000,41
maicon-coritiba-181,Maicon,Coritiba,27.860,39.400,27.040,72.640,70.000,47.390,0.530,1146,0.660,48.270,46,Defensor de Área,48.360,48.915,6.114,6.196,18.000,50
gabriel-paulista-corinthians-43,Gabriel Paulista,Corinthians,39.220,71.830,49.270,33.720,36.760,46.160,0.810,1754,0.870,46.650,53,Defensor de Área,48.720,48.884,6.111,6.192,19.000,51
bruno-fuchs-palmeiras-336,Bruno Fuchs,Palmeiras,56.140,28.300,40.010,73.860,48.590,49.380,0.280,598,0.430,49.730,37,Construtor,53.157,51.380,6.358,6.164,20.000,43
a-saldivia-vasco-da-gama-194,A. Saldivia,Vasco da Gama,50.340,72.020,52.480,48.090,39.860,52.560,0.500,1078,0.640,51.620,30,Construtor,51.421,50.906,6.311,6.122,21.000,45
newton-s-o-paulo-370,Newton,São Paulo,54.180,20.140,24.820,23.880,41.270,32.860,0.220,472,0.370,43.630,61,Combativo,42.228,47.095,5.942,6.065,12.000,54
victor-caetano-chapecoense-293,Victor Caetano,Chapecoense,41.860,58.190,35.770,76.990,25.490,47.660,0.330,719,0.490,48.860,44,Combativo,43.123,46.655,5.902,6.026,13.000,56
c-cuesta-vasco-da-gama-204,C. Cuesta,Vasco da Gama,42.620,50.130,73.590,33.350,12.820,42.500,0.480,1048,0.620,45.320,56,Construtor,47.986,48.750,6.098,5.936,22.000,52
l-esquivel-athletico-paranaense-96,L. Esquivel,Athletico Paranaense,56.340,28.060,53.520,47.360,31.970,43.450,0.670,1456,0.770,44.940,58,Construtor,46.945,47.645,5.993,5.845,23.000,53
bruno-leonardo-chapecoense-93,Bruno Leonardo,Chapecoense,24.210,54.930,36.520,58.580,46.620,44.170,0.680,1478,0.780,45.450,55,Defensor de Área,44.817,45.966,5.840,5.844,20.000,57
lyanco-atl-tico-mineiro-295,Lyanco,Atlético Mineiro,34.280,36.680,49.760,46.900,37.890,41.100,0.330,711,0.480,45.690,54,Combativo,38.052,44.188,5.689,5.812,14.000,62
gustavo-henrique-corinthians-29,Gustavo Henrique,Corinthians,57.380,64.790,35.400,45.250,20.140,44.590,0.860,1863,0.910,45.100,57,Defensor de Área,45.020,45.485,5.798,5.790,21.000,58
viery-fiorentina-138,Viery,Fiorentina,92.250,30.480,42.960,34.510,61.830,52.410,0.610,1323,0.730,51.750,29,Construtor,45.570,46.788,5.914,5.777,24.000,55
jo-o-marcelo-cruzeiro-365,João Marcelo,Cruzeiro,23.460,57.470,64.200,50.560,13.660,41.870,0.230,488,0.380,46.920,52,Defensor de Área,37.507,45.194,5.773,5.759,22.000,59
